stmt_ref,original_trade_ref,isin,security_desc,qty,exec_price,trade_dt,settle_dt,cycle,custodian_code,custodian_name,exch,direction,ccy
CS-TRD-00153,TRD-00153,INE148O01018,EID PARRY (INDIA),60,673.5100,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00154,TRD-00154,INE669E01016,BHARTI AIRTEL,375,1653.8012,2026-06-04,2026-06-04,T0,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00155,TRD-00155,INE00IN01015,PAYTM (ONE97),3500,416.7841,2026-06-04,2026-06-05,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00156,TRD-00156,INE148I01020,POLICYBAZAAR (PB FINTECH),1200,1845.0674,2026-06-04,2026-06-05,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00157,TRD-00157,INE160A01022,NESTLE INDIA,85,2455.3498,2026-06-04,2026-06-05,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00158,TRD-00158,INE044A01036,DABUR INDIA,600,615.7131,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00159,TRD-00159,INE397D01024,BHARAT FORGE,13,1250.4014,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00160,TRD-00160,INE129A01019,GAIL (INDIA),50,176.3406,2026-06-04,2026-06-05,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00161,TRD-00161,INE030A01027,HINDUSTAN UNILEVER,5,2426.7772,2026-06-04,2026-06-05,T1,BC-001,SBI Cap Securities (Custodian),BSE,BUY,INR
CS-TRD-00162,TRD-00162,INE917I01010,AVENUE SUPERMARTS (DMART),50,3718.8201,2026-06-04,2026-06-05,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00163,TRD-00163,INE047A01021,TITAN COMPANY,20,3350.9690,2026-06-04,2026-06-05,T1,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00164,TRD-00164,INE205A01025,SIEMENS,1200,6331.4970,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00165,TRD-00165,INE216A01030,BHARAT ELECTRONICS,3200,282.6121,2026-06-04,2026-06-05,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00166,TRD-00166,INE160A01022,NESTLE INDIA,800,2419.8823,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00167,TRD-00167,INE03VK01010,CARTRADE TECH,22,595.7989,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00168,TRD-00168,INE059B01024,RAIN INDUSTRIES,75,121.6643,2026-06-04,2026-06-05,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00169,TRD-00169,INE018A01030,LARSEN & TOUBRO,3600,3465.6899,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00170,TRD-00170,INE883A01011,FINOLEX CABLES,200,979.8697,2026-06-04,2026-06-05,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00171,TRD-00171,INE062A01020,STATE BANK OF INDIA,6500,810.5133,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00172,TRD-00172,INE104S01021,UJJIVAN SFB,1700,41.7341,2026-06-04,2026-06-05,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00173,TRD-00173,INE205A01025,SIEMENS,550,5882.0783,2026-06-04,2026-06-05,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00174,TRD-00174,INE101A01026,KOTAK MAHINDRA BANK,150,1820.3094,2026-06-04,2026-06-05,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00175,TRD-00175,INE726G01019,TRENT,65,5549.3768,2026-06-04,2026-06-05,T1,CUS-001,Deutsche Bank Custodial Services,BSE,BUY,INR
CS-TRD-00176,TRD-00176,INE047A01021,TITAN COMPANY,150,3479.5294,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,BSE,BUY,INR
CS-TRD-00177,TRD-00177,INE044A01036,DABUR INDIA,2200,591.9649,2026-06-04,2026-06-05,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00178,TRD-00178,INE467B01029,TATA CONSULTANCY SERVICES,45,3748.7340,2026-06-04,2026-06-05,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00179,TRD-00179,INE761H01022,AFFLE (INDIA),3500,1074.5275,2026-06-04,2026-06-05,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00180,TRD-00180,INE021A01026,ASIAN PAINTS,300,2964.9991,2026-06-04,2026-06-05,T1,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00181,TRD-00181,INE669E01016,BHARTI AIRTEL,35,1684.6512,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00182,TRD-00182,INE545U01014,NAZARA TECHNOLOGIES,1800,847.2872,2026-06-04,2026-06-05,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00183,TRD-00183,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,15,1327.3227,2026-06-04,2026-06-05,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00184,TRD-00184,INE092T01019,ZOMATO,110,242.1169,2026-06-04,2026-06-05,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00185,TRD-00185,INE726G01019,TRENT,140,5602.2910,2026-06-05,2026-06-08,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00186,TRD-00186,INE062A01020,STATE BANK OF INDIA,800,811.1421,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00187,TRD-00187,INE090A01021,ICICI BANK,100,1254.4528,2026-06-05,2026-06-05,T0,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00188,TRD-00188,INE883A01011,FINOLEX CABLES,200,958.0949,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00189,TRD-00189,INE00WK01013,ROUTE MOBILE,3,1311.3655,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00190,TRD-00190,INE883A01011,FINOLEX CABLES,16,983.3495,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00191,TRD-00191,INE883A01011,FINOLEX CABLES,325,894.6151,2026-06-05,2026-06-08,T1,BC-002,JP Morgan India Custody,BSE,SELL,INR
CS-TRD-00192,TRD-00192,INE040A01034,HDFC BANK,3500,1674.8424,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00193,TRD-00193,INE121A01024,CHOLAMANDALAM INVESTMENT,1000,1502.1330,2026-06-05,2026-06-08,T1,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00194,TRD-00194,INE585B01010,MARUTI SUZUKI,750,12147.0864,2026-06-05,2026-06-05,T0,CUS-001,Deutsche Bank Custodial Services,BSE,BUY,INR
CS-TRD-00195,TRD-00195,INE101A01026,KOTAK MAHINDRA BANK,150,1912.6956,2026-06-05,2026-06-08,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00196,TRD-00196,INE129A01019,GAIL (INDIA),8000,205.7676,2026-06-05,2026-06-08,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00197,TRD-00197,INE047A01021,TITAN COMPANY,10,3297.9577,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00198,TRD-00198,INE00IN01015,PAYTM (ONE97),1000,468.2456,2026-06-05,2026-06-08,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00199,TRD-00199,INE140A01024,BANK OF BARODA,300,254.8950,2026-06-05,2026-06-05,T0,CUS-005,BNP Paribas Custody,BSE,BUY,INR
CS-TRD-00200,TRD-00200,INE124N01016,ANGEL ONE,1000,2440.1993,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00201,TRD-00201,INE585B01010,MARUTI SUZUKI,500,12078.6810,2026-06-05,2026-06-08,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00202,TRD-00202,INE124N01016,ANGEL ONE,2,2168.5182,2026-06-05,2026-06-08,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00203,TRD-00203,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,200,805.0384,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00204,TRD-00204,INE761H01022,AFFLE (INDIA),130,1248.1231,2026-06-05,2026-06-08,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00205,TRD-00205,INE752E01010,PIDILITE INDUSTRIES,500,2778.9252,2026-06-05,2026-06-08,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00206,TRD-00206,INE03VK01010,CARTRADE TECH,20,611.6967,2026-06-05,2026-06-08,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00207,TRD-00207,INE628A01036,ULTRATECH CEMENT,1000,10568.1597,2026-06-05,2026-06-08,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00208,TRD-00208,INE00WK01013,ROUTE MOBILE,25,1410.2596,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00209,TRD-00209,INE092T01019,ZOMATO,1000,245.2888,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00210,TRD-00210,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,8500,1344.2062,2026-06-05,2026-06-08,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00211,TRD-00211,INE00IN01015,PAYTM (ONE97),1000,428.4180,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00212,TRD-00212,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,250,1442.7936,2026-06-05,2026-06-08,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00213,TRD-00213,INE121A01024,CHOLAMANDALAM INVESTMENT,500,1374.3748,2026-06-05,2026-06-08,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00214,TRD-00214,INE140A01024,BANK OF BARODA,88,242.9434,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,BSE,BUY,INR
CS-TRD-00215,TRD-00215,INE018A01030,LARSEN & TOUBRO,40,3515.4870,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00216,TRD-00216,INE047A01021,TITAN COMPANY,50,3140.0792,2026-06-05,2026-06-08,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00217,TRD-00217,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,10,815.0326,2026-06-05,2026-06-08,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00218,TRD-00218,INE883A01011,FINOLEX CABLES,250,898.1752,2026-06-05,2026-06-08,T1,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00219,TRD-00219,INE883A01011,FINOLEX CABLES,140,982.3367,2026-06-05,2026-06-08,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00220,TRD-00220,INE140A01024,BANK OF BARODA,2,243.4276,2026-06-05,2026-06-05,T0,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00221,TRD-00221,INE030A01027,HINDUSTAN UNILEVER,600,2569.3358,2026-06-05,2026-06-08,T1,BC-002,JP Morgan India Custody,BSE,BUY,INR
CS-TRD-00222,TRD-00222,INE021A01026,ASIAN PAINTS,150,2983.2863,2026-06-05,2026-06-08,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00223,TRD-00223,INE205A01025,SIEMENS,50,6181.9633,2026-06-05,2026-06-05,T0,CUS-001,Deutsche Bank Custodial Services,BSE,BUY,INR
CS-TRD-00224,TRD-00224,INE044A01036,DABUR INDIA,9,592.2947,2026-06-05,2026-06-08,T1,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00225,TRD-00225,INE140A01024,BANK OF BARODA,2000,235.5433,2026-06-05,2026-06-08,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00226,TRD-00226,INE044A01036,DABUR INDIA,8500,596.3013,2026-06-05,2026-06-08,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00227,TRD-00227,INE062A01020,STATE BANK OF INDIA,60,809.5306,2026-06-05,2026-06-08,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00228,TRD-00228,INE062A01020,STATE BANK OF INDIA,85,820.0934,2026-06-05,2026-06-08,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00229,TRD-00229,INE00WK01013,ROUTE MOBILE,5000,1480.8200,2026-06-05,2026-06-08,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00230,TRD-00230,INE002A01018,RELIANCE INDUSTRIES,2400,2960.1155,2026-06-05,2026-06-08,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00231,TRD-00231,INE154A01025,ITC,50,468.2914,2026-06-05,2026-06-05,T0,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00232,TRD-00232,INE259A01022,GODREJ CONSUMER PRODUCTS,600,1336.5461,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00233,TRD-00233,INE883A01011,FINOLEX CABLES,180,886.1225,2026-06-05,2026-06-08,T1,BC-002,JP Morgan India Custody,BSE,BUY,INR
CS-TRD-00234,TRD-00234,INE148I01020,POLICYBAZAAR (PB FINTECH),1600,1674.2536,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00235,TRD-00235,INE238A01034,AXIS BANK,14,1142.2385,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00236,TRD-00236,INE019A01038,WIPRO,10000,487.0417,2026-06-05,2026-06-05,T0,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00237,TRD-00237,INE528G01035,SHRIRAM FINANCE,50,2449.0475,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00238,TRD-00238,INE917I01010,AVENUE SUPERMARTS (DMART),236,4038.1292,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00239,TRD-00239,INE059B01024,RAIN INDUSTRIES,12,162.3714,2026-06-05,2026-06-08,T1,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00240,TRD-00240,INE129A01019,GAIL (INDIA),1200,201.4046,2026-06-05,2026-06-08,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00241,TRD-00241,INE628A01036,ULTRATECH CEMENT,1000,10231.1017,2026-06-05,2026-06-08,T1,BC-001,SBI Cap Securities (Custodian),BSE,BUY,INR
CS-TRD-00242,TRD-00242,INE483S01020,LATENT VIEW ANALYTICS,1600,450.5995,2026-06-05,2026-06-08,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00243,TRD-00243,INE397D01024,BHARAT FORGE,9,1225.4336,2026-06-08,2026-06-08,T0,BC-001,SBI Cap Securities (Custodian),BSE,BUY,INR
CS-TRD-00244,TRD-00244,INE009A01021,INFOSYS,3500,1623.8948,2026-06-08,2026-06-08,T0,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00245,TRD-00245,INE002A01018,RELIANCE INDUSTRIES,4000,2958.6879,2026-06-08,2026-06-09,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00246,TRD-00246,INE047A01021,TITAN COMPANY,9000,3359.4885,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00247,TRD-00247,INE216A01030,BHARAT ELECTRONICS,700,302.2423,2026-06-08,2026-06-09,T1,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00248,TRD-00248,INE00WK01013,ROUTE MOBILE,10,1365.1935,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00249,TRD-00249,INE917I01010,AVENUE SUPERMARTS (DMART),275,3715.0093,2026-06-08,2026-06-09,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00250,TRD-00250,INE047A01021,TITAN COMPANY,800,3486.6033,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00251,TRD-00251,INE917I01010,AVENUE SUPERMARTS (DMART),17,3616.9119,2026-06-08,2026-06-09,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00252,TRD-00252,INE576I01022,GRINDWELL NORTON,14,1941.2475,2026-06-08,2026-06-09,T1,CUS-001,Deutsche Bank Custodial Services,NSE,BUY,INR
CS-TRD-00253,TRD-00253,INE121A01024,CHOLAMANDALAM INVESTMENT,200,1473.5670,2026-06-08,2026-06-08,T0,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00254,TRD-00254,INE576I01022,GRINDWELL NORTON,1,2059.6637,2026-06-08,2026-06-09,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00255,TRD-00255,INE467B01029,TATA CONSULTANCY SERVICES,17,3765.9207,2026-06-08,2026-06-09,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00256,TRD-00256,INE585B01010,MARUTI SUZUKI,500,12537.0384,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00257,TRD-00257,INE140A01024,BANK OF BARODA,9500,240.9444,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00258,TRD-00258,INE550C01020,TV TODAY NETWORK,3,204.3167,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00259,TRD-00259,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,6,691.5761,2026-06-08,2026-06-09,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00260,TRD-00260,INE752E01010,PIDILITE INDUSTRIES,175,2965.4455,2026-06-08,2026-06-09,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00261,TRD-00261,INE238A01034,AXIS BANK,6,1189.3150,2026-06-08,2026-06-09,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00262,TRD-00262,INE019A01038,WIPRO,50,451.3715,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00263,TRD-00263,INE259A01022,GODREJ CONSUMER PRODUCTS,1000,1358.0996,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00264,TRD-00264,INE528G01035,SHRIRAM FINANCE,75,2519.2075,2026-06-08,2026-06-08,T0,BC-001,SBI Cap Securities (Custodian),BSE,SELL,INR
CS-TRD-00265,TRD-00265,INE140A01024,BANK OF BARODA,8000,240.2662,2026-06-08,2026-06-08,T0,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00266,TRD-00266,INE205A01025,SIEMENS,100,6036.3036,2026-06-08,2026-06-09,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00267,TRD-00267,INE154A01025,ITC,130,445.8339,2026-06-08,2026-06-09,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00268,TRD-00268,INE002A01018,RELIANCE INDUSTRIES,25,2776.1892,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00269,TRD-00269,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,5,1272.4047,2026-06-08,2026-06-09,T1,CUS-001,Deutsche Bank Custodial Services,NSE,SELL,INR
CS-TRD-00270,TRD-00270,INE148O01018,EID PARRY (INDIA),200,687.9402,2026-06-08,2026-06-09,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
CS-TRD-00271,TRD-00271,INE090A01021,ICICI BANK,1200,1173.6028,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00272,TRD-00272,INE545U01014,NAZARA TECHNOLOGIES,30,823.8950,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00273,TRD-00273,INE274J01014,HAPPIEST MINDS TECHNOLOGIES,900,812.1911,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00274,TRD-00274,INE030A01027,HINDUSTAN UNILEVER,2000,2463.9670,2026-06-08,2026-06-08,T0,CUS-005,BNP Paribas Custody,BSE,SELL,INR
CS-TRD-00275,TRD-00275,INE752E01010,PIDILITE INDUSTRIES,550,2861.1239,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,BSE,BUY,INR
CS-TRD-00276,TRD-00276,INE129A01019,GAIL (INDIA),731,208.8717,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00277,TRD-00277,INE03VK01010,CARTRADE TECH,15,672.5867,2026-06-08,2026-06-09,T1,CUS-004,Citibank Custodial,NSE,BUY,INR
CS-TRD-00278,TRD-00278,INE101A01026,KOTAK MAHINDRA BANK,3200,1777.8358,2026-06-08,2026-06-09,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00279,TRD-00279,INE160A01022,NESTLE INDIA,75,2497.2102,2026-06-08,2026-06-09,T1,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00280,TRD-00280,INE140A01024,BANK OF BARODA,20,264.6029,2026-06-08,2026-06-09,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00281,TRD-00281,INE883A01011,FINOLEX CABLES,1400,865.8917,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00282,TRD-00282,INE628A01036,ULTRATECH CEMENT,9500,10397.5685,2026-06-08,2026-06-09,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00283,TRD-00283,INE467B01029,TATA CONSULTANCY SERVICES,20,3774.0930,2026-06-08,2026-06-08,T0,CUS-003,Standard Chartered Custody,BSE,SELL,INR
CS-TRD-00284,TRD-00284,INE795G01014,POWER GRID CORPORATION,6000,313.8081,2026-06-08,2026-06-09,T1,BC-002,JP Morgan India Custody,BSE,BUY,INR
CS-TRD-00285,TRD-00285,INE009A01021,INFOSYS,30,1635.9845,2026-06-08,2026-06-08,T0,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00286,TRD-00286,INE021A01026,ASIAN PAINTS,4000,3039.3267,2026-06-08,2026-06-09,T1,CUS-002,HSBC Custody & Clearing,NSE,SELL,INR
CS-TRD-00287,TRD-00287,INE140A01024,BANK OF BARODA,9500,249.3299,2026-06-09,2026-06-10,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00288,TRD-00288,INE019A01038,WIPRO,90,453.0872,2026-06-09,2026-06-10,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00289,TRD-00289,INE148I01020,POLICYBAZAAR (PB FINTECH),2000,1716.5918,2026-06-09,2026-06-09,T0,CUS-005,BNP Paribas Custody,NSE,SELL,INR
CS-TRD-00290,TRD-00290,INE062A01020,STATE BANK OF INDIA,100,862.6814,2026-06-09,2026-06-10,T1,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00291,TRD-00291,INE550C01020,TV TODAY NETWORK,400,194.3144,2026-06-09,2026-06-10,T1,CUS-002,HSBC Custody & Clearing,NSE,BUY,INR
CS-TRD-00292,TRD-00292,INE216A01030,BHARAT ELECTRONICS,190,303.0226,2026-06-09,2026-06-10,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00293,TRD-00293,INE059B01024,RAIN INDUSTRIES,5000,126.3133,2026-06-09,2026-06-10,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00294,TRD-00294,INE397D01024,BHARAT FORGE,2500,1189.0257,2026-06-09,2026-06-10,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00295,TRD-00295,INE124N01016,ANGEL ONE,3200,2307.8152,2026-06-09,2026-06-10,T1,CUS-004,Citibank Custodial,NSE,SELL,INR
CS-TRD-00296,TRD-00296,INE669E01016,BHARTI AIRTEL,100,1596.7250,2026-06-09,2026-06-10,T1,CUS-003,Standard Chartered Custody,NSE,BUY,INR
CS-TRD-00297,TRD-00297,INE03YQ01011,CLEAN SCIENCE & TECHNOLOGY,45,1443.7783,2026-06-09,2026-06-10,T1,CUS-005,BNP Paribas Custody,NSE,BUY,INR
CS-TRD-00298,TRD-00298,INE044A01036,DABUR INDIA,350,548.1933,2026-06-09,2026-06-10,T1,CUS-003,Standard Chartered Custody,NSE,SELL,INR
CS-TRD-00299,TRD-00299,INE009A01021,INFOSYS,2000,1605.1263,2026-06-09,2026-06-10,T1,CUS-002,HSBC Custody & Clearing,BSE,BUY,INR
CS-TRD-00300,TRD-00300,INE528G01035,SHRIRAM FINANCE,200,2499.2878,2026-06-09,2026-06-10,T1,CUS-002,HSBC Custody & Clearing,BSE,SELL,INR
CS-TRD-00301,TRD-00301,INE129A01019,GAIL (INDIA),25,208.6970,2026-06-09,2026-06-10,T1,CUS-001,Deutsche Bank Custodial Services,BSE,SELL,INR
CS-TRD-00302,TRD-00302,INE238A01034,AXIS BANK,125,1156.7092,2026-06-09,2026-06-10,T1,BC-002,JP Morgan India Custody,NSE,BUY,INR
CS-TRD-00303,TRD-00303,INE550C01020,TV TODAY NETWORK,2500,214.6455,2026-06-09,2026-06-10,T1,BC-001,SBI Cap Securities (Custodian),NSE,SELL,INR
CS-TRD-00304,TRD-00304,INE092T01019,ZOMATO,65,235.7807,2026-06-09,2026-06-10,T1,BC-001,SBI Cap Securities (Custodian),NSE,BUY,INR
CS-TRD-00305,TRD-00305,INE216A01030,BHARAT ELECTRONICS,3,323.8559,2026-06-09,2026-06-10,T1,BC-002,JP Morgan India Custody,BSE,SELL,INR
CS-TRD-00306,TRD-00306,INE576I01022,GRINDWELL NORTON,90,2019.3148,2026-06-09,2026-06-10,T1,BC-002,JP Morgan India Custody,NSE,SELL,INR
